街道（镇）名称,所属县区,2000年人口,2010年人口,2020年人口
东华门街道,东城区,61795.0,61366.0,38090
景山街道,东城区,37380.0,40308.0,25374
交道口街道,东城区,40351.0,49196.0,31951
安定门街道,东城区,44691.0,44358.0,32173
北新桥街道,东城区,65791.0,82273.0,55449
东四街道,东城区,40773.0,43731.0,33670
朝阳门街道,东城区,34692.0,36702.0,30473
建国门街道,东城区,57922.0,57170.0,33094
东直门街道,东城区,48232.0,46018.0,46712
和平里街道,东城区,103931.0,112058.0,102227
前门街道,东城区,34990.0,12924.0,9081
崇文门外街道,东城区,26933.0,48817.0,44545
东花市街道,东城区,49066.0,52775.0,47864
龙潭街道,东城区,53257.0,56257.0,53930
体育馆路街道,东城区,45794.0,40303.0,31977
天坛街道,东城区,57465.0,50304.0,27429
永定门外街道,东城区,78700.0,84693.0,64790
西长安街街道,西城区,57145.0,51477.0,36645
新街口街道,西城区,,95497.0,84866
月坛街道,西城区,113210.0,116543.0,97771
展览路街道,西城区,140131.0,130925.0,114831
德胜街道,西城区,106977.0,116768.0,116338
金融街街道,西城区,85517.0,67888.0,54849
什刹海街道,西城区,,95433.0,75447
大栅栏街道,西城区,42973.0,36997.0,28985
天桥街道,西城区,45679.0,46385.0,34427
椿树街道,西城区,39874.0,30547.0,27417
陶然亭街道,西城区,53373.0,43455.0,42231
广安门内街道,西城区,80552.0,73692.0,60318
牛街街道,西城区,47210.0,51877.0,51410
白纸坊街道,西城区,85374.0,95737.0,82022
广安门外街道,西城区,113155.0,179536.0,198657
建外街道,朝阳区,50540.0,34692.0,36414
朝外街道,朝阳区,45650.0,39999.0,33212
呼家楼街道,朝阳区,65423.0,61588.0,53018
三里屯街道,朝阳区,51599.0,35394.0,32347
左家庄街道,朝阳区,83553.0,80249.0,70245
香河园街道,朝阳区,51011.0,51880.0,43002
和平街街道,朝阳区,94610.0,108406.0,81180
安贞街道,朝阳区,69651.0,68454.0,57016
亚运村街道,朝阳区,67334.0,72415.0,67745
小关街道,朝阳区,55828.0,68363.0,61966
酒仙桥街道,朝阳区,73080.0,62127.0,63910
麦子店街道,朝阳区,34976.0,31741.0,30143
团结湖街道,朝阳区,40745.0,37674.0,32091
六里屯街道,朝阳区,76258.0,107943.0,75229
八里庄街道,朝阳区,81964.0,107542.0,98084
双井街道,朝阳区,68941.0,96898.0,93962
劲松街道,朝阳区,72847.0,106983.0,103316
潘家园街道,朝阳区,99198.0,113115.0,100272
垡头街道,朝阳区,26436.0,54872.0,78952
南磨房地区,朝阳区,69546.0,129844.0,127268
高碑店地区,朝阳区,56438.0,118094.0,109631
将台地区,朝阳区,33395.0,71341.0,53714
太阳宫地区,朝阳区,57294.0,70367.0,86935
大屯街道,朝阳区,94284.0,141433.0,132457
望京街道,朝阳区,91170.0,168167.0,146220
小红门地区,朝阳区,36069.0,57751.0,83675
十八里店地区,朝阳区,85635.0,200884.0,178177
平房地区,朝阳区,37718.0,120605.0,85581
东风地区,朝阳区,60302.0,86525.0,63236
奥运村街道,朝阳区,43737.0,105263.0,109688
来广营地区,朝阳区,51581.0,123665.0,163970
常营地区,朝阳区,18710.0,48470.0,113891
三间房地区,朝阳区,23630.0,126183.0,109672
管庄地区,朝阳区,81197.0,105407.0,93273
金盏地区,朝阳区,30855.0,57618.0,82756
孙河地区,朝阳区,25508.0,23876.0,31288
崔各庄地区,朝阳区,36633.0,101996.0,107029
东坝地区,朝阳区,38656.0,88541.0,124163
黑庄户地区,朝阳区,20620.0,57257.0,49983
豆各庄地区,朝阳区,12077.0,32535.0,53766
王四营地区,朝阳区,24204.0,84394.0,54679
东湖街道,朝阳区,24118.0,64074.0,62467
首都机场街道,朝阳区,26735.0,20512.0,16837
右安门街道,丰台区,72944.0,83936.0,73499
太平桥街道,丰台区,39899.0,63588.0,74275
西罗园街道,丰台区,75777.0,83430.0,83815
大红门街道,丰台区,83807.0,193382.0,177946
南苑街道,丰台区,38799.0,48076.0,61926
东高地街道,丰台区,49646.0,44912.0,42705
东铁匠营街道,丰台区,109410.0,144894.0,152873
卢沟桥街道,丰台区,93356.0,181666.0,223304
丰台街道,丰台区,102624.0,144185.0,137290
新村街道,丰台区,68753.0,159357.0,204697
长辛店街道,丰台区,78092.0,80639.0,85636
云岗街道,丰台区,32894.0,32711.0,34537
方庄地区,丰台区,66640.0,83454.0,74999
宛平城地区,丰台区,20465.0,49180.0,46208
马家堡街道,丰台区,48218.0,119595.0,111470
和义街道,丰台区,22629.0,40477.0,40108
卢沟桥地区,丰台区,114848.0,173690.0,112087
花乡地区,丰台区,94747.0,143041.0,119171
南苑地区,丰台区,86572.0,140155.0,59408
长辛店镇,丰台区,31975.0,47986.0,44358
王佐镇,丰台区,37385.0,53808.0,59452
八宝山街道,石景山区,,53606.0,61211
老山街道,石景山区,37774.0,42606.0,40023
八角街道,石景山区,70849.0,116416.0,110929
古城街道,石景山区,91241.0,82632.0,67685
苹果园街道,石景山区,81852.0,101775.0,97543
金顶街街道,石景山区,61963.0,75736.0,67734
广宁街道,石景山区,14365.0,17395.0,14684
五里坨街道,石景山区,30664.0,30462.0,41248
鲁谷街道,石景山区,,95455.0,66794
万寿路街道,海淀区,148159.0,172456.0,121453
永定路街道,海淀区,37394.0,49346.0,90879
羊坊店街道,海淀区,110193.0,127134.0,120302
甘家口街道,海淀区,111596.0,118455.0,117946
八里庄街道,海淀区,124745.0,135984.0,133400
紫竹院街道,海淀区,134330.0,138411.0,129367
北下关街道,海淀区,131720.0,158776.0,146366
北太平庄街道,海淀区,136244.0,201614.0,163920
学院路街道,海淀区,157065.0,243307.0,226315
中关村街道,海淀区,108578.0,159637.0,130672
海淀街道,海淀区,108635.0,144700.0,123191
青龙桥街道,海淀区,78664.0,128887.0,84221
清华园街道,海淀区,49072.0,51785.0,56592
燕园街道,海淀区,36706.0,37548.0,29779
香山街道,海淀区,35690.0,28535.0,27614
清河街道,海淀区,71862.0,139752.0,147395
花园路街道,海淀区,130059.0,148829.0,139362
西三旗街道,海淀区,88954.0,144126.0,157643
马连洼街道,海淀区,66622.0,106585.0,119022
田村路街道,海淀区,45429.0,106744.0,108088
上地街道,海淀区,10894.0,102105.0,67139
万柳地区,海淀区,34878.0,28062.0,2022
东升地区,海淀区,34533.0,49852.0,58151
曙光街道,海淀区,,102397.0,86181
温泉地区,海淀区,31537.0,50800.0,69165
四季青地区,海淀区,88643.0,170579.0,162700
西北旺地区,海淀区,66882.0,142664.0,164795
苏家坨地区,海淀区,35902.0,46786.0,78235
上庄地区,海淀区,25138.0,44814.0,71554
大峪街道,门头沟区,58414.0,80413.0,87097
城子街道,门头沟区,20986.0,34555.0,44644
东辛房街道,门头沟区,29086.0,27335.0,36076
大台街道,门头沟区,13887.0,11296.0,3728
王平地区,门头沟区,8147.0,6513.0,7013
永定地区,门头沟区,34945.0,42446.0,106112
龙泉地区,门头沟区,37979.0,32149.0,52072
潭柘寺镇,门头沟区,9261.0,8672.0,11053
军庄镇,门头沟区,13012.0,12516.0,16128
雁翅镇,门头沟区,8657.0,6587.0,5160
斋堂镇,门头沟区,12894.0,10817.0,7486
清水镇,门头沟区,9674.0,7906.0,6025
妙峰山镇,门头沟区,9649.0,9271.0,10012
城关街道,房山区,80746.0,96243.0,121242
新镇街道,房山区,9794.0,8842.0,10681
向阳街道,房山区,15975.0,8569.0,19142
东风街道,房山区,25786.0,24321.0,22556
迎风街道,房山区,33406.0,31293.0,34721
星城街道,房山区,21960.0,21861.0,21663
良乡地区,房山区,17459.0,18978.0,24317
周口店地区,房山区,39877.0,42840.0,41868
琉璃河地区,房山区,62836.0,59931.0,66787
拱辰街道,房山区,,132320.0,214622
西潞街道,房山区,,64757.0,75903
阎村镇,房山区,30679.0,48773.0,77621
窦店镇,房山区,45326.0,65574.0,96184
石楼镇,房山区,29468.0,28902.0,32131
长阳镇,房山区,37538.0,64996.0,241691
河北镇,房山区,25267.0,19877.0,18895
长沟镇,房山区,25452.0,23791.0,22002
大石窝镇,房山区,37919.0,31139.0,31000
张坊镇,房山区,21043.0,18446.0,18299
十渡镇,房山区,12072.0,9778.0,9132
青龙湖镇,房山区,44047.0,44598.0,52319
韩村河镇,房山区,39023.0,39210.0,37435
霞云岭乡,房山区,10316.0,7140.0,4885
南窖乡,房山区,5922.0,3739.0,3190
佛子庄乡,房山区,13895.0,8925.0,6183
大安山乡,房山区,12843.0,11217.0,2871
史家营乡,房山区,17978.0,6300.0,3364
蒲洼乡,房山区,4254.0,2472.0,2074
中仓街道,通州区,39444.0,57550.0,66803
新华街道,通州区,19904.0,8891.0,37286
北苑街道,通州区,43972.0,73423.0,108840
玉桥街道,通州区,32832.0,64482.0,115813
潞源街道,通州区,,,8472
通运街道,通州区,,,49613
宋庄镇,通州区,62836.0,104143.0,145247
张家湾镇,通州区,62766.0,89273.0,127992
漷县镇,通州区,57726.0,61413.0,68466
马驹桥镇,通州区,43782.0,107048.0,175794
西集镇,通州区,42435.0,43244.0,46678
台湖镇,通州区,43710.0,99039.0,151735
永乐店镇,通州区,40439.0,40241.0,43308
潞城镇,通州区,,,69288
永顺镇,通州区,74148.0,195194.0,304781
梨园镇,通州区,46336.0,140520.0,285445
于家务回族乡,通州区,23243.0,27184.0,34734
胜利街道,顺义区,,34858.0,46494
光明街道,顺义区,49043.0,54731.0,70609
仁和地区,顺义区,44044.0,49004.0,67391
后沙峪地区,顺义区,29902.0,40793.0,74841
天竺地区,顺义区,30595.0,33342.0,32979
杨镇地区,顺义区,46949.0,54406.0,64578
牛栏山地区,顺义区,26264.0,35789.0,54687
南法信地区,顺义区,18459.0,26153.0,54195
马坡地区,顺义区,,10850.0,38547
石园街道,顺义区,,48531.0,68302
空港街道,顺义区,,43814.0,99297
双丰街道,顺义区,,22875.0,68176
旺泉街道,顺义区,,44385.0,94415
高丽营镇,顺义区,27213.0,44461.0,80840
李桥镇,顺义区,36466.0,69830.0,97059
李遂镇,顺义区,19427.0,20046.0,22538
南彩镇,顺义区,37009.0,50639.0,73163
北务镇,顺义区,10977.0,11413.0,13980
大孙各庄镇,顺义区,28827.0,24223.0,23712
张镇,顺义区,25774.0,23636.0,24795
龙湾屯镇,顺义区,18024.0,15457.0,14212
木林镇,顺义区,36942.0,33557.0,34114
北小营镇,顺义区,34245.0,37959.0,42805
北石槽镇,顺义区,14379.0,15386.0,15109
赵全营镇,顺义区,25579.0,30482.0,47206
城北街道,昌平区,116961.0,187228.0,228561
南口地区,昌平区,56727.0,67811.0,82146
马池口地区,昌平区,36422.0,73905.0,87506
沙河地区,昌平区,57050.0,110808.0,294408
城南街道,昌平区,29205.0,58127.0,88963
东小口地区,昌平区,,,85874
天通苑北街道,昌平区,,,142707
天通苑南街道,昌平区,,,116529
霍营街道,昌平区,,,93545
回龙观街道,昌平区,,,166074
龙泽园街道,昌平区,,,181906
史各庄街道,昌平区,,,64910
阳坊镇,昌平区,18086.0,23701.0,26470
小汤山镇,昌平区,34877.0,55737.0,80273
南邵镇,昌平区,17297.0,24180.0,65403
崔村镇,昌平区,14053.0,21319.0,24630
百善镇,昌平区,15163.0,21662.0,36546
北七家镇,昌平区,42581.0,263323.0,308907
兴寿镇,昌平区,,,34139
流村镇,昌平区,18076.0,17900.0,18139
十三陵镇,昌平区,,,34085
延寿镇,昌平区,,,7766
兴丰街道,大兴区,,57478.0,79851
林校路街道,大兴区,,50917.0,81389
清源街道,大兴区,,102402.0,147810
亦庄地区,大兴区,36890.0,55318.0,108255
黄村地区,大兴区,,168444.0,176890
旧宫地区,大兴区,61705.0,193585.0,189300
西红门地区,大兴区,40942.0,141355.0,179974
瀛海地区,大兴区,25495.0,49612.0,102463
观音寺街道,大兴区,,73061.0,111225
天宫院街道,大兴区,,22433.0,87415
高米店街道,大兴区,,,99959
荣华街道,大兴区,,,49881
博兴街道,大兴区,,,5499
青云店镇,大兴区,35533.0,69157.0,69612
采育镇,大兴区,30945.0,34073.0,54690
安定镇,大兴区,29557.0,29963.0,30764
礼贤镇,大兴区,34490.0,33347.0,40930
榆垡镇,大兴区,44270.0,56002.0,71812
庞各庄镇,大兴区,41244.0,46632.0,74912
北臧村镇,大兴区,17837.0,31524.0,35391
魏善庄镇,大兴区,31798.0,43712.0,46661
长子营镇,大兴区,25206.0,32985.0,34588
北京经济技术开发区,大兴区,,73112.0,92765
大兴生物医药产业基地,大兴区,,,10201
国家新媒体产业基地,大兴区,,,9827
大兴国际机场,大兴区,,,1527
泉河街道,怀柔区,,54471.0,78632
龙山街道,怀柔区,,44203.0,74596
怀柔地区,怀柔区,,66485.0,41990
雁栖地区,怀柔区,17475.0,25933.0,38483
庙城地区,怀柔区,24296.0,34027.0,40883
北房镇,怀柔区,18134.0,24541.0,33712
杨宋镇,怀柔区,17016.0,24642.0,31270
桥梓镇,怀柔区,22485.0,21914.0,25076
怀北镇,怀柔区,15915.0,12475.0,22487
汤河口镇,怀柔区,7174.0,6372.0,5445
渤海镇,怀柔区,16608.0,14016.0,12702
九渡河镇,怀柔区,16446.0,15206.0,12533
琉璃庙镇,怀柔区,6913.0,5938.0,4312
宝山镇,怀柔区,7975.0,8244.0,6246
长哨营满族乡,怀柔区,7536.0,6570.0,5378
喇叭沟门满族乡,怀柔区,5367.0,4895.0,4034
北京雁栖经济开发区,怀柔区,,2955.0,3261
滨河街道,平谷区,,44897.0,50541
兴谷街道,平谷区,,53000.0,61949
渔阳地区,平谷区,,56015.0,62694
峪口地区,平谷区,29584.0,26493.0,28385
马坊地区,平谷区,18920.0,17949.0,29601
金海湖地区,平谷区,31620.0,26835.0,25376
东高村镇,平谷区,31741.0,27945.0,28406
山东庄镇,平谷区,18598.0,16439.0,16315
南独乐河镇,平谷区,23678.0,20449.0,18847
大华山镇,平谷区,20481.0,16396.0,15209
夏各庄镇,平谷区,25327.0,20958.0,26185
马昌营镇,平谷区,16058.0,16303.0,16794
王辛庄镇,平谷区,40695.0,29686.0,30586
大兴庄镇,平谷区,18812.0,17297.0,23739
刘家店镇,平谷区,9516.0,7509.0,7155
镇罗营镇,平谷区,11007.0,8875.0,7610
黄松峪乡,平谷区,5899.0,5498.0,5062
熊儿寨乡,平谷区,4308.0,3414.0,2859
鼓楼街道,密云区,,104479.0,154739
果园街道,密云区,,52840.0,88764
檀营地区,密云区,4106.0,7571.0,15466
密云镇,密云区,,18722.0,20392
溪翁庄镇,密云区,22622.0,19811.0,20438
西田各庄镇,密云区,39791.0,36056.0,33702
十里堡镇,密云区,22027.0,25086.0,29824
河南寨镇,密云区,23739.0,24067.0,24155
巨各庄镇,密云区,24750.0,23017.0,22032
穆家峪镇,密云区,30687.0,33145.0,23084
太师屯镇,密云区,32937.0,27311.0,22388
高岭镇,密云区,17656.0,14186.0,9967
不老屯镇,密云区,22411.0,15810.0,12705
冯家峪镇,密云区,9976.0,6640.0,4485
古北口镇,密云区,9254.0,7932.0,7170
大城子镇,密云区,15877.0,11648.0,9443
东邵渠镇,密云区,13416.0,12276.0,9495
北庄镇,密云区,9141.0,7769.0,5993
新城子镇,密云区,10810.0,7993.0,6528
石城镇,密云区,5956.0,5453.0,4014
北京密云经济开发区,密云区,,5868.0,2899
百泉街道,延庆区,,,36013
香水园街道,延庆区,,,48251
儒林街道,延庆区,,,28230
延庆镇,延庆区,,,54790
康庄镇,延庆区,27152.0,33487.0,32815
八达岭镇,延庆区,8577.0,8094.0,10024
永宁镇,延庆区,26674.0,24075.0,23483
旧县镇,延庆区,21974.0,19932.0,17676
张山营镇,延庆区,23811.0,23769.0,24259
四海镇,延庆区,6252.0,6001.0,4343
千家店镇,延庆区,10156.0,9463.0,6273
沈家营镇,延庆区,12022.0,12021.0,16661
大榆树镇,延庆区,14572.0,21630.0,16166
井庄镇,延庆区,11947.0,10646.0,9500
大庄科乡,延庆区,5288.0,5276.0,4202
刘斌堡乡,延庆区,7107.0,6088.0,4497
香营乡,延庆区,8514.0,7782.0,6019
珍珠泉乡,延庆区,3496.0,3503.0,2469
